lyrics,genre
"

Verse 1:

My flow is on fire, set to inspire
Drop the beat, feel the sound and the wire
Creating a space, a place to admire
Rhymes that come easy, I'm never tired

Hook:
Nothin' can stop me, my destiny's clear
Movin' and groovin' 'til I disappear
I'm gonna take it, noone can come near
Feelin' the vibes, gonna keep it real

Verse 2:
People listen, this is the mission
Spit the truth, no need for permission
The lyricism, comin' with precision
Makin' a statement, this is my vision

Hook:
Nothin' can stop me, my destiny's clear
Movin' and groovin' 'til I disappear
I'm gonna take it, noone can come near
Feelin' the vibes, gonna keep it real

Verse 3:
I'm on a roll, ready to show
My style is unique, I'm brewin' up dough
My mic is on fire, even the angels know
My rhymes are for real, I'm gonna make it grow

Hook:
Nothin' can stop me, my destiny's clear
Movin' and groovin' 'til I disappear
I'm gonna take it, noone can come near
Feelin' the vibes, gonna keep it real",rap
"

Verse 1:

Steppin' out, in the night, livin' life, it's a fight
Lookin' for somethin' to spark my delight
Sick of these haters talkin' trash, tryin' to take me out
But that's just the way it is when you're livin' loud

Chorus:
Gotta keep on pushin', never gonna stop
Gonna keep on ridin' this wave 'til I hit the top
Fear nothin', never gonna drop
Gonna put everyone in shock 'cause I'm never gonna flop

Verse 2:
Spreadin' the word, let it be heard
Where I'm goin' no one can deter
Out here makin' moves, not just talkin' the blues
Gonna let the haters know, I refuse to lose

Chorus:
Gotta keep on pushin', never gonna stop
Gonna keep on ridin' this wave 'til I hit the top
Fear nothin', never gonna drop
Gonna put everyone in shock 'cause I'm never gonna flop

Verse 3:
Ain't no time for restin' when it comes to success
Gotta get up, get out, and make it my quest
Can't let nobody stand in my way, never gonna delay
Gonna take it all the way to the top and stay there today

Chorus:
Gotta keep on pushin', never gonna stop
Gonna keep on ridin' this wave 'til I hit the top
Fear nothin', never gonna drop
Gonna put everyone in shock 'cause I'm never gonna flop",rap
"

Verse 1:

I'm on the grind and I won't quit, my hustle's legit
I'ma keep pushing 'til I hit the pinnacle
Y'all may write me off, but I'm not done yet
I'ma show the world, just exactly what I get

Chorus:

I'm on the rise, I'm never gonna die
I'm gonna show the world what I'm made of
I'm gonna work, work hard and strive
Gonna make it to the top and I know I'll survive

Verse 2:

I'ma take my shot and never hesitate
I'ma keep grinding 'til my dreams all come true
My name's on the line, so I'ma keep it real
Gonna show the world the power inside me

Chorus:

I'm on the rise, I'm never gonna die
I'm gonna show the world what I'm made of
I'm gonna work, work hard and strive
Gonna make it to the top and I know I'll survive

Verse 3:

Gonna stay focused and ignore the haters
Gonna keep grinding 'til I'm on the top of the mountain
They can't keep me down, I'ma keep it moving
My time is now and I'm gonna keep it grooving",rap
"

Verse 1:

Gotta keep it real,
Gotta do my thing,
I'm gonna make my move,
Ain't nothing gonna stand in my way.

I'm gonna take it all,
My life's gonna be grand,
Gonna do my best,
Gonna be the man.

Chorus:

I'm gonna stay on top,
Gonna keep on rockin' this block,
Gonna keep it movin',
Gonna keep it bumpin' non-stop.

Verse 2:

I'm gonna show what I'm made of,
Gonna make it to the top,
Gonna be the one that you can't stop,
Gonna keep it hot.

I'm gonna show 'em what I can do,
Gonna be the one who comes through,
Gonna keep it real and stay true,
Gonna be the one who's true blue.

Chorus:

I'm gonna stay on top,
Gonna keep on rockin' this block,
Gonna keep it movin',
Gonna keep it bumpin' non-stop.",rap
"

Verse 1

I'm livin' life in the fast lane, I'm on a mission no time to waste
Everyone talking but they don't really know me, they just want to be in my face
I'm grinding hard, no one can stop me, I'm tryna break the mold, make a name for myself
One foot in front of the other and I ain't even worried bout nobody else

Chorus
I'm on a mission take no prisoners, I'm putting in the work no time for lollygaging
I'm gonna make it to the top and I ain't never looking back
Cause I'm on a mission, no matter what nobody can get in my way

Verse 2

Put in so much work every single day, tryna make my dreams come true
I ain't falling for the hype and I'm chasing money not fame
I'ma do this on my own, don't need nobody to tell me what I can and can't do
Show them all what I'm made of, they ain't never seen nothing like it before

Chorus

I'm on a mission take no prisoners, I'm putting in the work no time for lollygaging
I'm gonna make it to the top and I ain't never looking back
Cause I'm on a mission, no matter what nobody can get in my way

Verse 3

Ain't no stopping me now, I'm gonna keep grinding
I'm gonna make it to the top, I'ma keep shining
My eyes on the prize, whatever I got to do
No matter how hard it is I'ma make it through

Chorus

I'm on a mission take no prisoners, I'm putting in the work no time for lollygaging
I'm gonna make it to the top and I ain't never looking back
Cause I'm on a mission, no matter what nobody can get in my way",rap
"

I'm breaking through the walls, nothing can stop me from what I'm about to do
Ain't letting no one put me down, no one's gonna keep me from making it through
Nobody's gonna stop me from reaching my goals, no obstacles can keep me from getting what I'm owed
My ambition never stalls, I'm always striving for something bigger and better

So don't come at me with no drama, cause I can't stand no more
I'm done with the stress and lies, this is my time to soar
I'm in the zone, no one's gonna slow me down
My eyes are on the prize, I'm gonna make it out of this town

I'm gonna be the man on top, no doubt no less
I'm gonna make sure I take what's mine, I'm gonna take my success
Gonna climb the ladder, no matter how high it is
Ain't gonna settle for nothing but the best, I'm gonna make it big

I'm gonna rise above all the rest, I can see it in my mind
Ain't gonna let no one tell me what I can or can't do, I'm gonna make it mine
My words, they carry weight, I'm gonna show what I got
Feeling unstoppable, don't matter who's trying to stop me, I'm gonna hit the spot

Cuz I'm a hustler, I'm a go-getter, I'm a star
Ain't gonna take no for an answer, I'm gonna never fall too far
I'm gonna keep pushing, I'm gonna keep grinding, I'm gonna make it
Gonna reach a level that no one can touch, that's what I'm aiming for

So don't try to stand in my way, I'm gonna be the one to make it
No matter how hard the road gets, I'm gonna stay on track
Gonna keep pushing, gonna keep climbing, I'm gonna make it to the top
Gonna show them what I'm made of, gonna prove to the world that I'm the man on top",rap
"

Verse 1

I'm the king of the rap game I'm a certifiable G
My flow is so cold it's like I'm dropping Celsius
I'm too far up, can't nobody see us
I got all the haters tryna hate and envy us

Chorus

I'm on top of the game, I'm a lyrical king
My skills are so sharp they cut like a diamond ring
I'm unleashing the power of my inner rage
And all the haters just step out of my way

Verse 2

I'm a master of the mic and I'm ready to shine
I'm spitting fire, no need for gasoline
My bars are too hot, I'm like a wildfire
I'm gonna light up the streets like a Fourth of July

Chorus

I'm on top of the game, I'm a lyrical king
My skills are so sharp they cut like a diamond ring
I'm unleashing the power of my inner rage
And all the haters just step out of my way

Verse 3

I'm the king of the rap game, I don't need no crown
I'll put my foot on the necks of the fools that clown
I'm on a mission, I'm gonna take it to the top
I'm gonna do what it takes and I'll never stop

Chorus

I'm on top of the game, I'm a lyrical king
My skills are so sharp they cut like a diamond ring
I'm unleashing the power of my inner rage
And all the haters just step out of my way",rap
"

Verse 1:
I'm gonna put this flow on the map,
My rhymes are tight so watch where I rap,
I'm gonna bring the fire to ya y'all,
Stompin' on the ground and making my call.

Chorus:
I'm gonna raise it up,
Bring the heat and never give up,
I'm gonna get it done,
No matter what I'm gonna have some fun.

Verse 2:
I got the skills to bring the show,
Let's get this groove and let it flow,
The beat is bumpin' and I'm ready to rock,
Gonna show y'all something you never seen before.

Chorus:
I'm gonna raise it up,
Bring the heat and never give up,
I'm gonna get it done,
No matter what I'm gonna have some fun.

Bridge:
I'm gonna keep it going,
Gonna show you what I'm knowing,
Gonna make it loud,
And show 'em all that I'm proud.

Verse 3:
My style is unique and it's all me,
Gonna make this one a history,
Gonna show you what I'm made of,
Gonna bring the fire and show it off.

Chorus:
I'm gonna raise it up,
Bring the heat and never give up,
I'm gonna get it done,
No matter what I'm gonna have some fun.",rap
"

Verse 1:
I'm the rap king of the town
My skills ain't gonna slow me down
From the east to the west coast
My lyrics gonna make you roast
My bars are gonna hit you hard
Letting my voice be heard
The truth I'm trying to get it out
My flow's gonna make you shout

Chorus:
So now you know my game
My rhymes are gonna make you insane
My lyrics they gonna come at ya
No stopping trying to make ya
It's time to raise the roof
Cause my flow is gonna be the proof

Verse 2:
My style is something special
My rhymes they gonna be essential
My voice it comes from the heart
Never gonna tear us apart
My bars are gonna make you sweat
My flow it ain't gonna forget
My skills gonna hit you like a truck
Gonna make you feel stuck

Chorus:
So now you know my game
My rhymes are gonna make you insane
My lyrics they gonna come at ya
No stopping trying to make ya
It's time to raise the roof
Cause my flow is gonna be the proof",rap
"

Verse 1

I can't let them bring me down in this game of life
Gonna shine on, keep pushing through the strife
Gotta keep my head up, can't lose my pride
Been a long and hard road, but I'm still here alive

Chorus

Gonna keep on going, never gonna stop
This fire inside of me will never be forgotten
Gonna stand up tall, and never retreat
My courage and my strength, I'll take off my feet

Verse 2

Took some hard hits, but I'm still standing strong
Gonna keep my head high, and I won't move along
Been knocked down, but I'm not out of the fight
Fighting for what's mine, won't bow to their might

Chorus

Gonna keep on going, never gonna stop
This fire inside of me will never be forgotten
Gonna stand up tall, and never retreat
My courage and my strength, I'll take off my feet

Verse 3

My soul is burning, my heart is beating fast
Gonna stand up tall, and the past won't last
Can't let them, bring me down and keep me from the sky
Gonna keep my head up, and I'm never gonna die",rap
"

Verse 1

I'm a king and I'm the one that's ruling
No one can touch me, I'm the one that's schooling
I'm unstoppable and my flow is like a locomotive
My competition ain't got no chance, I'm so dominant

Chorus 
I'm the king and I'm here to stay
I'm gonna reign forever and control the game

Verse 2
I'm a master and there ain't no one that can compare
My words are like a fire, burning through the air
My mic is blazing and my words are so inviting
My flow is tight like the cloth around my waist

Chorus 
I'm the king and I'm here to stay
I'm gonna reign forever and control the game

Verse 3
I'm the truth and I'm here to prove it
My music got you moving, it's the one you can't refuse it
My bars are hard and my rhymes are on point
My flows are ill and they will never disappoint

Chorus 
I'm the king and I'm here to stay
I'm gonna reign forever and control the game",rap
"

Verse 1
Time passin' like a flash its a dash
In the moment livin' I'm livin' crash
To the fullest gettin' up on the track
Got my head up keepin' up with the rap
Ain't gonna stop me from gettin' to the top
Swagger on a hundred its the way I shop
Gonna keep it movin' never gonna drop
Gonna keep it jumpin' never gonna stop

Chorus
Yeah I'm holdin' down this ground
Movin' like a king and makin' no sound
Vibin' out and keepin' it real
Just livin' life and gettin' a feel

Verse 2
Hear me comin' from miles around
Goin' hard and never gonna back down
Gettin' busy when I'm in the crowd
Bringin' it hard and gettin' it loud
Ain't afraid to take a stand
Gonna keep it poppin' while I'm in the jam
Livin' life just like it was grand
Gonna keep it movin' like I'm in the band",rap
"

Verse 1
I'm on a mission to the top, nothing can stop me
Living life at my own speed, I'm a rebel
Gonna take this to the finish line, never settling
What's meant to be is gonna be, and that's all that's telling

Chorus
I'm gonna grind and keep it moving, every second every hour
Gonna rise up to the highest peak, and show my power
Gonna fight through each and every storm, and never cower
Gonna stay on track and keep it going, till my dreams unfold

Verse 2
One foot in front of the other, I'm gonna take it further
Gonna keep pushing on and on, till I reach the top
My goals are right in front of me, and I won't ever stop
Gonna make it all come true, I'm gonna stay on top

Chorus
I'm gonna grind and keep it moving, every second every hour
Gonna rise up to the highest peak, and show my power
Gonna fight through each and every storm, and never cower
Gonna stay on track and keep it going, till my dreams unfold

Verse 3
It's all about staying focused, and never giving in
Gonna take this as far as it can go, and follow my own win
Knowing that I'm gonna make it, gonna give it all I can
Gonna make it through, no matter how hard it is, I'm the man

Chorus
I'm gonna grind and keep it moving, every second every hour
Gonna rise up to the highest peak, and show my power
Gonna fight through each and every storm, and never cower
Gonna stay on track and keep it going, till my dreams unfold",rap
"

Verse 1:

I'm a real hustla I'm a renegade
Got a hundred problems got a hundred ways
I'm a master of the game I'ma ball all day
I'ma ball all night just to get paid

Chorus:

I'ma hustle, I'ma grind, I'ma move forward
I'ma take it to the top, never take no losses
I'ma always get it done, that's what it is
Gotta keep it real, that's the life I live

Verse 2:

I'ma always stay focused, never miss a beat
Never let the odds get me off my feet
Gotta stay on my grind, gotta stay on my pace
Gonna take it to the top, I'ma set the pace

Chorus:

I'ma hustle, I'ma grind, I'ma move forward
I'ma take it to the top, never take no losses
I'ma always get it done, that's what it is
Gotta keep it real, that's the life I live

Verse 3:

I'ma make it happen, I'ma never quit
Always gonna stay humble, never gonna split
Gonna get it done, gonna take it all the way
Gonna never give up, gonna make it pay

Chorus:

I'ma hustle, I'ma grind, I'ma move forward
I'ma take it to the top, never take no losses
I'ma always get it done, that's what it is
Gotta keep it real, that's the life I live",rap
"

Verse 1:
Flexin on my foes, I'mma make it clear
I'm the one you can't mess with, I'm the one who holds the fear
I'm gonna come through the door, I'm making moves I can't ignore
I'm getting brain while they try to play me, they can't do nothing more

Chorus:
Ain't got no time for no haters, no time for games
Ain't gonna stop 'til I make it big, gon' take it all the way
Ain't gonna let nobody stand in my way, I'm here to stay
Ain't gonna stop 'til I make it count, I'm here to stay

Verse 2:
Gotta stay on my grind, focus my thoughts, don't let 'em stray
On the come up and I'm ready to make it all the way
Gonna spread the message, peace and love for you to hear
Gonna keep it real, I'm gonna let my music speak

Chorus:
Ain't got no time for no haters, no time for games
Ain't gonna stop 'til I make it big, gon' take it all the way
Ain't gonna let nobody stand in my way, I'm here to stay
Ain't gonna stop 'til I make it count, I'm here to stay

Verse 3:
Came in the game with a mission, now the mission's been achieved
All the players in the game, they know who I am and they believe
Been grinding hard since the start, never gonna take no breaks
In the studio, I'm getting it done, it's the time that never waits

Chorus:
Ain't got no time for no haters, no time for games
Ain't gonna stop 'til I make it big, gon' take it all the way
Ain't gonna let nobody stand in my way, I'm here to stay
Ain't gonna stop 'til I make it count, I'm here to stay",rap
"

Verse 1:

Send a message through the air, that the times are changing
Gotta keep a watchful eye, 'cause the truth is in the way they're arranging
They got us all in the dark, actin' like they know what's best
Rise up and be heard, 'cause you won't get no rest

Chorus:

We're alive, and we're ready to fight
Gonna take back control, 'cause it's ours by right
We don't need no one to show us the light
Gonna keep on pushing forward, 'cause we ain't giving up the fight

Verse 2:

They think they can keep us in the shadows, keep us from the light
But they ain't seen nothing yet, 'cause we'll be the ones to take flight
No matter how hard they try, we won't be held down
Gotta stand up for justice, and turn this thing around

Chorus:

We're alive, and we're ready to fight
Gonna take back control, 'cause it's ours by right
We don't need no one to show us the light
Gonna keep on pushing forward, 'cause we ain't giving up the fight

Verse 3:

We ain't gonna take it no more, we're gonna show 'em what we're made of
Gonna make our voices heard, 'cause the truth is what we crave of
No more will we sit back and be ignored
Gonna make our mark, and take back what's ours

Chorus:

We're alive, and we're ready to fight
Gonna take back control, 'cause it's ours by right
We don't need no one to show us the light
Gonna keep on pushing forward, 'cause we ain't giving up the fight",rap
"

Verse 1

From the city lights to the stars in the night
I'm blazing the path to the future I write
Ain't no stopping me now with the fire in my sight
Cause I'mma take it up as I aim for the heights

Chorus

I'mma keep it moving, I'mma stay on the rise
Ain't nobody gonna tell me how to live my life
I'm just gonna keep climbing, I'mma reach for the skies
Ain't nobody gonna hold me down, that's not how I fly

Verse 2

I keep my head up and I'mma keep my stride
I'm gonna take it to the top, that's how I survive
Ain't nothing gonna stop me, I'mma take what's mine
And I'mma reach the sky, I'mma reach the divine

Chorus

I'mma keep it moving, I'mma stay on the rise
Ain't nobody gonna tell me how to live my life
I'm just gonna keep climbing, I'mma reach for the skies
Ain't nobody gonna hold me down, that's not how I fly

Verse 3

I'm gonna take the world and show 'em what I'm made of
Ain't no stopping me now, I'mma take it to the top
The world's my playground, I'mma show 'em what I got
I'mma take it all 'til I reach the highest spot

Chorus

I'mma keep it moving, I'mma stay on the rise
Ain't nobody gonna tell me how to live my life
I'm just gonna keep climbing, I'mma reach for the skies
Ain't nobody gonna hold me down, that's not how I fly",rap
"

Verse 1
I'm a renegade, a rap renegade
I'm trigger happy, like a loaded grenade
I'm gonna make a big splash, with a quick dash
And I'm never gonna let it go, let it crash

Chorus
I'm a renegade and I'm here to stay
I'm the king of the rap game, just have to say
I'm gonna stay around and put it down
I'm the renegade and it's my crown

Verse 2
I'm gonna take it to the top, till I reach the sky
My rhymes are gonna flow, so don't ask me why
My lyrics are gonna hit like a raging fire
Gonna set the place alive, with a burning desire

Chorus
I'm a renegade and I'm here to stay
I'm the king of the rap game, just have to say
I'm gonna stay around and put it down
I'm the renegade and it's my crown

Verse 3
My music gonna hit you hard, gonna make you sweat
It's gonna take you down, make you forget
My lyrics gonna take you higher, gonna make you fly
Gonna give you wings, gonna make you high

Chorus
I'm a renegade and I'm here to stay
I'm the king of the rap game, just have to say
I'm gonna stay around and put it down
I'm the renegade and it's my crown",rap
"

Verse 1:
I'ma show you how it's done, so you better observe 
I'ma take it to the top, gonna reach that next level curve 
I'ma make the crowd go wild, gonna make it worth their time 
My rhymes so cold, I'm bout to change the climate 

Chorus:
I'ma put my heart and soul into this rap,
Gonna make sure what I say is on point and on track
Gonna show the world that I'm here, gonna make a stand
Put my feelings and my thoughts on the microphone in my hand 

Verse 2:
I'ma give it all I got, gonna show you what I'm made of
My lyrics gonna flow like the waves on the beach shore
Gonna take it from the basement to the stars in the sky 
Let them hear my voice, they gonna know why 

Chorus:
I'ma put my heart and soul into this rap,
Gonna make sure what I say is on point and on track
Gonna show the world that I'm here, gonna make a stand
Put my feelings and my thoughts on the microphone in my hand 

Verse 3:
Gonna take the stage, gonna make my mark
Gonna show them what I got, gonna make it spark
Gonna put it all on the line, gonna make it right
Gonna get the crowd hyped, gonna make it tight 

Chorus:
I'ma put my heart and soul into this rap,
Gonna make sure what I say is on point and on track
Gonna show the world that I'm here, gonna make a stand
Put my feelings and my thoughts on the microphone in my hand",rap
"

Verse 1: 
I'ma stay real, real fresh like some morning dew
Put it down hard so you know it's true
My flow is like a river, never stops flowing
I never give up, no matter how hard the going

Chorus: 
I'm gonna stay fresh, fresh through and through
My lyrics are solid, they'll never be blue
This rap is gonna keep on rolling, won't ever stall
My flow is like thunder, it'll make you bawl

Verse 2: 
I'm spitting like a fountain, rhymes for everyone
My skills are top notch, nobody can outrun
My words are like an avalanche, can't be stopped
My delivery's smooth and my bars stay hot

Chorus: 
I'm gonna stay fresh, fresh through and through
My lyrics are solid, they'll never be blue
This rap is gonna keep on rolling, won't ever stall
My flow is like thunder, it'll make you bawl

Verse 3: 
I'm a lyrical soldier, I don't retreat
My rhymes will keep you on your feet
I'm gonna keep this rap alive, never let it die
My skills are top tier, no one can fly higher",rap
"

I got the sauce and I'm always ready 
On the mic I'm the talk of the town 
My swagger's heavy, my pockets are wealthy 
Flow like the river and steady, I'm the king of the sound 

My rhyme stronger than any one of these haters  
Flexing my skill, flexing my style like a skater
I'm on a mission, I'm reppin, my name's a player
Lyrically I'm gifted; y'all can't match my flavor  

My beats knock, the bass line thumpin
My words got you dancin and jumpin
No stopping me, I'm unstoppable
When it comes to rap, I'm a certified problem 

I'm turnin it up, diggin deep in the crates
My lyrics stretch far like a map of the states
My sound cause noise, watch your speakers break
My bars hit hotter than the summer heat",rap
"

Verse 1

I'm the king of the street
My swag is sleek
I rap on the beat
My style is unique
I hit the mic hard
Got the crowd on fire
My lyrics got them singing
Trying to reach higher
I'm known for the way I drop bars
My words bring down the stars
My style is on point
My flow will make em astound

Chorus

I'm the king of the street
The master of the beat
My bars stronger than concrete
A King swayin to the beat

Verse 2

My flow is crazy
My rhymes are snazzy
It's a one two punch
That will make you sound dazy
My words are sharp
Hit harder than karate
So if you come up against me
I got bars that can take ya
I'm a lyrical genius
No one can top me
I'm livin the dream
Living it lavishly

Chorus 

I'm the king of the street
The master of the beat
My bars stronger than concrete
A King swayin to the beat",rap
"

Verse 1:
I got a flow thats on par with the best
When I'm on the mic my rhymes get pressed
I'm gonna show you how it's really done
See when I'm rappin I'm second to none

Chorus:
Let my voice be heard for miles,
Laidback in the cut I got style
Can't nobody take me down,
I'm comin' up big with my sound

Verse 2:
Speak the truth and it's undeniable
My lyrics are fly like a gullible
No gimmicks, no tricks, straight facts and real rap
I'll stay on the track and never take a step back

Chorus:
Let my voice be heard for miles,
Laidback in the cut I got style
Can't nobody take me down,
I'm comin' up big with my sound

Verse 3:
My bars are unique, you won't find another
Bringin' the heat and the fire to the summer
Pen to the pad, words flow smoother than silk
This is the rhythm I'm gonna stay on til

Chorus:
Let my voice be heard for miles,
Laidback in the cut I got style
Can't nobody take me down,
I'm comin' up big with my sound",rap
"

Verse 1

I'm here to do it, gonna make my mark
My rhymes are fire, gonna light up the dark
I'm ready to go, new hustle and flow
Gonna bring it on, and show 'em the show

Chorus
My flow is sick, my rhymes so slick
I'm gonna take it to the top and never quit
My lyrics fire and I'm a lyrical king
I'm gonna bring it on and bring the real thing

Verse 2

I'm gonna bring the heat, and fire up the beat
My rhymes fresh and new, can't be defeated
I'm gonna show 'em, how it's done in this game
Gonna make some noise and spread my own fame

Chorus
My flow is sick, my rhymes so slick
I'm gonna take it to the top and never quit
My lyrics fire and I'm a lyrical king
I'm gonna bring it on and bring the real thing

Verse 3

My lyrics are tight and my beat is bumpin
Gonna bring it loud and straight up stunnin
I'm gonna take it up and let the world know
My rhymes stay hot, gonna bring the show

Chorus
My flow is sick, my rhymes so slick
I'm gonna take it to the top and never quit
My lyrics fire and I'm a lyrical king
I'm gonna bring it on and bring the real thing",rap
"

Yeah yeah, it's time to rock the mic
My flow is sick, so get ready to strike
Make sure you listen to every single line
My rhymes gon' run deep and make you shine

Ain't nobody gonna front on my swag
I keep it real with a million different tags
Talkin' 'bout my life and what I'm livin' for
Gonna bring ya somethin' ya ain't heard before

Throwin' down my rhymes, makin' moves with ease
I'm livin' life to its highest degrees
Come along the ride and show you what I'm made of
You gonna jump and shout with the groove I create

Gonna show you how I'm livin' with my own style
My words be flowin' like a river wild
Just pushin' myself and tryna reach my dreams
Ain't afraid of nothin', I got what it takes

Ain't gonna let nobody stop this fire
I'm all about reachin' the highest heights
Gonna bring something brand new, it's a natural high
Ain't no stopping me, I'm gonna make it fly",rap
"

Verse 1: 
I'm a fly MC and I'm on the scene
I got the flow and a mean lyrical routine
I'm aiming to give you something that you ain't seen
The bars I drop are so damn pristine 

Chorus: 
My rhymes are like fire, they set the mood
I'm taking flight while everyone else just stands in the booth
My lyrics blaze, they make the crowd move
All eyes on me when I come with the groove

Verse 2:
I speak up boldly, I'm here to make a mark
My rap flow is savage, tearing through the dark
And still I stay humble, I don't take the fame for granted
I stay hungry for success, nothing more I can demand

Chorus:
My rhymes are like fire, they set the mood
I'm taking flight while everyone else just stands in the booth
My lyrics blaze, they make the crowd move
All eyes on me when I come with the groove

Verse 3:
Stay lit up on the mic, I'm always on the attack
My words are true and they never lack
The truth I'm spitting never bending in the wind
My rap game's so sharp, you wear't believe it until you hear it again 

Chorus: 
My rhymes are like fire, they set the mood
I'm taking flight while everyone else just stands in the booth
My lyrics blaze, they make the crowd move
All eyes on me when I come with the groove",rap
