lyrics,genre
"

Ride on my pony, ride to the fields,
Watch the sun rise on a summer day.
The sweet smell of the flowers that bloom,
Gives me a feeling that won't go away.

Hush a bye, don't you cry, go to sleep, my little baby.
When you wake, you shall have cake, and all the pretty little horses,
Blacks and bays, dapples and greys, all the pretty, pretty horses.

Trot on the river, trot on the lake,
Dance with the wind in an open space.
The stars light the way in the middle of the night,
Giving us light, a magical place.

Hush a bye, don't you cry, go to sleep, my little baby.
When you wake, you shall have cake, and all the pretty little horses, 
Blacks and bays, dapples and greys, all the pretty, pretty horses.",country
" 

Passing through that Colorado town, I'm tryin' to make it Oklahoma, 
Just one more stop along the way, then I know I'm gonna make it alright
I'm a hard drivin' man, hard drivin' man, hard drivin' man,
I'm drivin' just as fast as I can.

Rollin' on down the dusty road, my wheels are spinning 'neath the sun,
Smells of coal, smokestack's high, with a load I gotta get done
I'm a hard drivin' man, hard drivin' man, hard drivin' man,
I'm drivin' just as hard as I can.

I've been livin' on the road, I got no time for a plan,
The highway's my home and my bed, that's where I'll lay my head 
I'm a hard drivin' man, hard drivin' man, hard drivin' man,
I'm drivin' just as hard as I can.

The sky is dark, the stars have come, a bright moon shinin' through,
My wheels keep spinning 'til the night, and I'll be coming home soon
I'm a hard drivin' man, hard drivin' man, hard drivin' man,
I'm drivin' just as hard as I can.",country
"

Verse 1
A Wednesday morn in the hills of Tennessee 
The wind's a comin' and the cotton's white and clean 
The sun's a shinin', and the birds are singing their song 
And the morning dew can't hide the silence of the dawn 

Chorus 
Another monsoon's here and it feels like judgment day 
Watch out for the ego's eye and the opium on the breakfast tray 
Or the laughter of the dying monk from the poison of the tsetse fly 
All the mountains they have no sides and the robbers they have a thousand lies 
You can see it all in the rivers of Shanghai 
Another monsoon's here and it feels like judgment day

Verse 2
A family's home washed away by the raging storm 
A farmer's crop burned up in the heat of the morn 
The road's a river, and the bridge is washed away 
And the echoes of the thunder heard for miles away

Chorus 
Another monsoon's here and it feels like judgment day 
Watch out for the ego's eye and the opium on the breakfast tray 
Or the laughter of the dying monk from the poison of the tsetse fly 
All the mountains they have no sides and the robbers they have a thousand lies 
You can see it all in the rivers of Shanghai 
Another monsoon's here and it feels like judgment day

Bridge
The valley's just a whisper, the rolling hills alive 
The farms in tatters and the truth we can't hide 
The songbird's singing of a time we must face 
The judgement of the Lord in a broken land of grace

Chorus 
Another monsoon's here and it feels like judgment day 
Watch out for the ego's eye and the opium on the breakfast tray 
Or the laughter of the dying monk from the poison of the tsetse fly 
All the mountains they have no sides and the robbers they have a thousand lies 
You can see it all in the rivers of Shanghai 
Another monsoon's here and it feels like judgment day",country
"

Verse 1
I wake up in the morning, dawning light shone in
With a heavy heart and hurt I can't contain
My arms reach out, searchin' for you in my sleep
But the thunder claps in my soul as I remember you gone

Chorus
I look out my window, see a sky so blue
But all that I can feel is the pain lookin' back at me
All that my future holds, the loneliness I must uphold
As I toss yesterday's love out into the wind
And straighten Miss Emily's picture now and then

Verse 2
I head down to the bar, tryin' to drink away my blues
Laughter rings and I shoot some pool with friends, for a moment I'm okay
But when the night closes in and it's just me, oh Lord, I'm overwhelmed
Then I remember that you're not here and deep pain starts to swell

Chorus
I look out my window, see a sky so blue
But all that I can feel is the pain lookin' back at me
All that my future holds, the loneliness I must uphold
As I toss yesterday's love out into the wind
And straighten Miss Emily's picture now and then

Bridge
I cry out to the night sky, seeking some kind of sign
But the silence is deafening, your absence is all that I find
And I straighten Miss Emily's picture one last time

Chorus
I look out my window, see a sky so blue
But all that I can feel is the pain lookin' back at me
All that my future holds, the loneliness I must uphold
As I toss yesterday's love out into the wind
And straighten Miss Emily's picture now and then",country
"

Verse 1
I was strolling down the street one day,
Thought I'd find some love, nothing to pay,
Saw a girl who looked so fine,
I just couldn't leave her behind.

Chorus
She's a noted rider, whoa she ain't no good,
She got drunk this morning, Woke up her neighbours,
She took me to her house, she called me honey,
Thought she loved me, but she just wanted my money.

Verse 2
She said meet me round the corner at half past ten,
Thought my heart would cry, but I went in,
Her room was a place I'd never been,
But something told me I ought to go in.

Chorus
She's a noted rider, whoa she ain't no good,
She got drunk this morning, Woke up her neighbours,
She took me to her house, she called me honey,
Thought she loved me, but she just wanted my money.

Verse 3
I thought I'd take her out and buy her a meal,
Naive as a puppy and dammed as a seal,
I thought 'twas true love, but I had it wrong,
I was just another part of her song.

Chorus
She's a noted rider, whoa she ain't no good,
She got drunk this morning, Woke up her neighbours,
She took me to her house, she called me honey,
Thought she loved me, but she just wanted my money.

Bridge
Been around the block a few times, now I see the light,
Ain't gonna be fooled again, not by no one tonight,
Gonna find a gal who wants me,
And who knows what real love can be.

Chorus
She's a noted rider, whoa she ain't no good,
She got drunk this morning, Woke up her neighbours,
She took me to her house, she called me honey,
Thought she loved me, but she just wanted my money.",country
"

Verse 1 
We left our expectations back on the shoreline 
Took off our worries, left 'em behind 
The sun was settin' low, but the water was so inviting 
We just had to take the risk and take the dive 

Chorus
Lake swimmin', shuckin' free our deadened selves like snakes and corn do 
Our bodies tore off swimmin' suits and all the old notions  
The cold ocean far away, enter the sun marchin' like a matador 
Throwin' a red cape on the sky, my butterfly, I'll dance with you 
Though our wings may crumble, we can float like ash 
Broken, but our edges still shine 

Verse 2 
The night was starry bright, it enveloped us in grace 
The moonlight guided us to a safe place 
No fear of judgement here, 'cause noone could ever see 
We just had to keep believin' and keep our faith 

Chorus 
Lake swimmin', shuckin' free our deadened selves like snakes and corn do 
Our bodies tore off swimmin' suits and all the old notions 
The cold ocean far away, enter the sun marchin' like a matador 
Throwin' a red cape on the sky, my butterfly, I'll dance with you 
Though our wings may crumble, we can float like ash 
Broken, but our edges still shine 

Bridge 
We'll keep on swimmin', in this crystal-clear lake 
We can keep it to ourselves, forever and ever, forever and ever 
And when the waters call us, we'll rise again 
We'll keep on swimmmin', keep our feet on solid ground

Chorus 
Lake swimmin', shuckin' free our deadened selves like snakes and corn do 
Our bodies tore off swimmin' suits and all the old notions 
The cold ocean far away, enter the sun marchin' like a matador 
Throwin' a red cape on the sky, my butterfly, I'll dance with you 
Though our wings may crumble, we can float like ash 
Broken, but our edges still shine",country
"

Verse 1
I was lost and out of luck,
Searching all the backroads for love
Breaking all the rules, that I made up
Leaving only dust and broken dreams

Chorus
I was looking for love in all the wrong places
Searching for something that’ll never be found
Scanning their eyes, hoping to find traces
Of the love that I’ve been dreaming about

Verse 2
Thought I’d never find someone like you
Every stoplight and bar had something to do
Running around, losing again and again
But now I know it was all for a reason

Chorus
I was looking for love in all the wrong places
Searching for something that’ll never be found
Scanning their eyes, hoping to find traces
Of the love that I’ve been dreaming about

Bridge
You showed up just in time and knocked on my door
Brought with you sweet sunshine and love evermore
No more searching for love in all the wrong places
God bless the day I discovered you lookin’ for love

Chorus
Lookin’ for love in all the wrong places
Searching for something that’ll never be found
Scanning their eyes, hoping to find traces
Of the love that I’ve been dreaming about
Now that I’ve found a friend and a lover
God bless the day I discovered you, oh you lookin’ for love",country
"

Verse 1
The mountain seems so high, with obstacles in my way
I'm struggling to stay strong, so I can make it through the day
I'm reminded of His grace, and of His constant love
He's been here from the start, and will be with me from above

Chorus 
Though the questions may remain, and the future's still unclear
God is here with open arms and a never-ending cheer
His love and mercy show, no matter where I go
He's with me always, His grace will never leave me

Verse 2
No matter where I turn, whatever I'm going through
I'm reminded of His Word, and of the hope He gives anew
He'll never forsake me, no matter how I stray
The Lord remains by side, no matter what the cost may be

Chorus
Though the questions may remain, and the future's still unclear
God is here with open arms and a never-ending cheer
His love and mercy show, no matter where I go
He's with me always, His grace will never leave me

Bridge
And I will always trust, His promise is sure
His faithfulness will never pass, He's a light that will endure
His mercy never fails, He's by my side when I fall
I know that God is always here, and He'll never leave me at all

Chorus
Though the questions may remain, and the future's still unclear
God is here with open arms and a never-ending cheer
His love and mercy show, no matter where I go
He's with me always, His grace will never leave me",country
"

Chorus:
He was weighed in the balance and found wanting
His kingdom was divided could not stand
He was weighed in the balance and found wanting
his houses were built upon the sand

Verse 2:
Belshazzar's heart was filled with fear
The writing said time was running out
But Daniel held his hand and said,
""Your kingdom shall soon be overthrown""

The writing said his rule had come to an end
The king's fate lay in Daniel's hands
He must surrender the throne to Darius
And to the Lord he must make amends


Chorus:
He was weighed in the balance and found wanting
His kingdom was divided could not stand
He was weighed in the balance and found wanting
his houses were built upon the sand

Verse 3:
The warning had been given loud and clear
And Belshazzar heeded the call
To avoid the wrath of the Lord
He must give up his throne to all

But Belshazzar's pride and his ignorance lingered still
And he refused to give up his reign
Vengeance was swift and it came with a roar
His kingdom fell and would never be the same


Chorus:
He was weighed in the balance and found wanting
His kingdom was divided could not stand
He was weighed in the balance and found wanting
His houses were built upon the sand

Outro:
Belshazzar's demise was a lesson for all
Pride goes before a fall
His arrogance was his own downfall
He should've learned to heed the warnings of old",country
"

Verse 1
It started with a smile, a twinkle in your eye
The way you said my name and how you made me feel alive
But when I was young and naive, I didn't see the signs
And now I'm left to wonder when the truth will be mine

Chorus
Just because I forgave you, doesn't mean that I'll forget
The way you hurt me, how you treated me so wrong
Tried to break me down, but I'm still standing strong
It's clear to see, you thought I was no longer useful

Verse 2
The lies and secrets that you kept, I still feel betrayed
You took my trust and cast it aside, like it was some kind of game
Was all just part of your plan, lead me on while you can
You might have thought I would fall down, but I'm still rolling on

Chorus
Just because I forgave you, doesn't mean that I'll forget
The way you hurt me, how you treated me so wrong
Tried to break me down, but I'm still standing strong
It's clear to see, you thought I was no longer useful

Verse 3
You thought you had me fooled, but I'm wiser than you think
Took me for a fool, but still I rise above you
You might have thought I'd give up, but I'm staying strong
I won't let go, this fight is not about to end

Chorus
Just because I forgave you, doesn't mean that I'll forget
The way you hurt me, how you treated me so wrong
Tried to break me down, but I'm still standing strong
It's clear to see, you thought I was no longer useful

Bridge 
You can't ignore the truth, no matter how hard you try
It's a part of me, and it's here to stay
There's no need to keep trying to turn back the time
I'm moving forward, no more games to play

Chorus
Just because I forgave you, doesn't mean that I'll forget
The way you hurt me, how you treated me so wrong
Tried to break me down, but I'm still standing strong
It's clear to see, you thought I was no longer useful",country
